dataset,filename,emorin,lleboul,mtorte
ELAN,2020_01_14_02_00_00_000000+0000.wav,FINISHED,UNASSIGNED,FINISHED
ELAN,2020_01_14_04_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_14_08_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_14_16_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_15_17_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_15_20_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_15_22_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_16_02_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_16_06_00_00_000000+0000.wav,CREATED,UNASSIGNED,FINISHED
ELAN,2020_01_18_19_00_00_000000+0000.wav,CREATED,FINISHED,FINISHED
ELAN,2020_01_20_03_00_00_000000+0000.wav,CREATED,FINISHED,FINISHED
ELAN,2020_01_20_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_20_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_20_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_20_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_21_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_21_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_21_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_21_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_21_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_22_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_22_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_25_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_25_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_26_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_26_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_26_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_26_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_27_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_27_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_27_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_27_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_28_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_28_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_28_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_29_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_29_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_30_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_30_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_30_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_01_31_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_01_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_02_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_02_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_02_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_04_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_04_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_04_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_04_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_06_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_06_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_06_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_06_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_07_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_07_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_07_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_08_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_08_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_08_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_08_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_09_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_09_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_09_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_10_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_10_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_10_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_11_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_11_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_11_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_11_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_12_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_12_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_12_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_13_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_14_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_15_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_15_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_16_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_16_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_17_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_18_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_18_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_19_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_19_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_20_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_20_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_21_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_21_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_21_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_21_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_22_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_22_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_22_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_22_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_23_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_23_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_24_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_24_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_24_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_24_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_24_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_25_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_26_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_26_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_26_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_26_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_27_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_27_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_28_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_28_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_28_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_29_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_02_29_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_01_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_02_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_03_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_03_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_04_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_05_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_05_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_06_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_06_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_06_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_07_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_09_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_10_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_12_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_12_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_13_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_13_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_16_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_20_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_21_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_23_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_23_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_25_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_28_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_28_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_30_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_01_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_01_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_02_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_03_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_03_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_04_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_06_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_06_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_07_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_08_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_08_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_10_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_11_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_12_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_12_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_14_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_15_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_17_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_19_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_19_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_21_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_21_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_23_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_23_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_24_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_25_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_25_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_27_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_27_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_30_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_30_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_01_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_01_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_04_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_04_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_06_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_06_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_07_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_07_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_10_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_10_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_13_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
